"LoanOriginalAmount","DebtToIncomeRatio","credit_and_prosper_grade","BankcardUtilization"
20790,0.33,"AA",0.46
12500,0.22,"C",0.6
5000,0.15,"B",0.39
3000,0.41,"C",0.41
2000,NA,"D",0.86
4041,0.17,"D",1.58
11000,0.2,"C",0
5000,0.17,"A",0
4000,0.43,"HR",0.65
3500,0.18,"HR",0.96
15000,0.15,"B",0.94
3900,0.19,"C",0.45
20000,0.17,"AA",0.49
3000,0.2,"HR",NA
9546,0.66,"C",NA
7000,0.16,"A",0.01
15000,0.36,"AA",0.23
5000,0.29,"B",0.48
3000,0.09,"AA",0.03
10000,0.21,"B",0.85
15000,0.36,"B",0.67
4000,NA,"E",0.6
1000,0.11,"E",1
5500,0.23,"D",0.6
7000,NA,"B",0.84
2000,0.29,"D",0.99
25000,0.1,"AA",NA
15000,0.28,"B",0.87
20000,0.27,"A",0.01
4000,0.26,"E",1.01
4000,0.05,"E",1
4000,0.33,"A",0.25
5000,0.07,"AA",0.1
30000,0.23,"A",0.72
2000,0.39,"C",0.9
5000,NA,"A",0.91
3000,NA,"D",0.9
2000,0.18,"E",0.32
8000,0.1,"A",0.57
15000,0.39,"B",0.61
6500,0.15,"A",0.01
4000,0.35,"C",0.94
4000,0.25,"D",0.9
6000,0.2,"A",0.37
9000,0.41,"C",0.7
3000,0.55,"E",0.6
10000,0.49,"C",0.31
2000,0.38,"D",0.89
5000,0.18,"A",0.94
2500,0.31,"D",0.99
35000,0.18,"A",0.02
6000,0.13,"AA",0.14
11000,0.18,"AA",0.78
35000,0.23,"B",0.54
15000,0.07,"B",0.58
2000,0.31,"E",0.24
7000,0.62,"D",0.99
10000,NA,"C",0.5
15000,0.27,"D",0.66
15000,NA,"A",0.36
8394,0.25,"C",0
4000,0.13,"HR",1
4000,0.2,"HR",0.52
10000,0.22,"B",0.87
4000,0.45,"B",0.44
13357,0.45,"D",0.65
15000,NA,"C",0.69
2000,0.24,"C",0.7
10000,0.26,"A",0.42
19000,0.23,"B",0.35
20000,0.31,"B",0.97
4000,0.16,"E",0.92
10000,0.28,"A",0.47
5100,NA,"B",0.65
7000,0.22,"A",0.59
15000,0.35,"C",0.28
7500,NA,"E",0.88
6000,0.96,"D",0.06
2500,0.11,"E",0.35
2100,0.24,"D",NA
8000,0.35,"B",0.16
4000,0.23,"B",0
6000,0.11,"C",0.64
9500,0.17,"A",0.36
3600,0.18,"B",0.69
2500,0.2,"AA",0.27
15000,NA,"C",0.79
10000,0.38,"D",0.79
15000,NA,"C",0.71
4000,0.08,"E",0
16000,0.26,"AA",0.44
4500,0.2,"C",0.82
15000,0.19,"D",0.72
3001,0.02,"HR",NA
20000,0.3,"C",0.95
18000,0.31,"C",0.55
5000,0.25,"D",0.98
3000,0.18,"E",0.91
3000,0.09,"HR",0.92
9000,0.31,"A",0.11
15000,0.36,"B",0.54
2500,0.17,"E",0.92
15000,0.22,"A",0.37
25000,0.25,"B",0.58
1500,0.22,"C",0.96
5500,0.12,"D",0
4000,0.16,"HR",0.14
2700,NA,"NC",NA
5000,0.12,"B",0.22
2000,1.01,"HR",0.61
3100,0.21,"HR",0.66
2000,0.14,"E",0.42
4000,0.13,"E",1.01
15000,NA,"B",0.06
15000,0.19,"C",0.5
8000,0.2,"B",0.38
25000,0.19,"B",0.49
8500,0.26,"B",0.56
4000,0.28,"E",0.25
2500,0.18,"C",0.75
1000,0.11,"B",0.53
3000,0.26,"E",NA
3500,0.09,"E",0.98
10000,NA,"B",0.63
1000,NA,"E",0
3000,0.06,"C",0.47
20000,0.26,"A",0.2
6500,0.11,"A",0.48
6000,0.34,"A",NA
2000,0.39,"C",0.98
4000,0.19,"E",0.69
9000,0.27,"C",0.34
4000,0.07,"B",NA
10000,0.23,"C",0.77
2000,0.18,"C",0.24
10000,0.34,"A",0.89
1500,NA,"B",0.05
7500,0.33,"D",0.93
4000,0.46,"D",0.71
1400,0.22,"E",NA
10000,0.57,"C",0.54
3000,0.18,"D",0.84
2000,NA,"D",0.9
3350,0.26,"B",NA
2550,0.1,"HR",NA
20000,0.24,"B",0.47
6000,0.26,"E",0.78
6000,0.49,"D",NA
15000,NA,"A",0.17
1700,0.15,"E",NA
3000,0.18,"E",1.01
4000,0.19,"E",0.67
24500,0.5,"AA",0.38
2000,0.25,"HR",0
10000,NA,"C",0.87
5000,0.25,"D",0.87
3000,0.12,"AA",0.34
10000,0.15,"D",0.06
15000,0.35,"C",0.36
3500,0.48,"D",0.66
15000,0.26,"D",0.87
1800,0.11,"E",NA
12300,NA,"C",0.56
25000,0.24,"AA",0.25
4000,4.68,"HR",0.58
10000,0.14,"D",0.94
22500,0.14,"C",0.81
3000,0.16,"AA",0.15
15000,0.17,"D",NA
3001,0.11805,"B",NA
19000,0.22,"AA",0.89
15000,0.19,"D",0.78
20000,0.11,"B",0.06
4000,0.09,"E",0.94
2000,0.2,"A",0.04
5000,0.3,"C",0.86
4000,0.18,"E",0.34
1000,0.41,"D",0.6
4000,0.36,"D",0.51
2500,0.18,"A",0.35
3500,0.18,"HR",0
20000,0.31,"C",0.46
1500,0.46,"D",0.32
2000,0.09202,"HR",NA
17500,0.24,"A",0.57
15000,0.47,"B",0.44
2500,0.02,"AA",0.76
15000,0.09,"B",0
5500,0.36,"D",0.63
5500,0.36,"D",0.63
4000,0.09,"HR",0.56
22000,0.27,"B",0.88
6000,0.33,"C",0.62
4000,NA,"B",0.8
7862,0.38,"D",0.94
5000,0.19,"B",0.45
24000,0.2,"A",0
4000,0.04,"HR",0
4000,0.25,"HR",0.97
4000,0.63,"E",0.9
2800,0.1,"C",0.4
12000,0.16,"A",0.59
13000,0.15,"A",0.87
4000,0.18,"B",0.89
15001,0.1,"A",0.25
4000,0.12,"B",0.25
9000,0.35,"B",0.71
4000,0.49,"HR",0.33
7000,0.14,"D",0.15
20000,0.26,"A",0.89
4000,0.03,"A",0.46
4000,0.37,"C",0.28
10000,NA,"D",0.32
3000,0.25,"B",0.98
4000,0.39,"E",0.97
3000,0.54,"D",0
15000,0.2,"A",0.35
7000,0.13,"A",0.19
5000,0.2,"E",0
2200,0.12,"A",0.35
1000,0.22,"D",0.91
10000,0.13,"C",0.75
2500,0.36,"D",0.95
10000,0.25,"D",0
5000,0.27,"C",0.99
14980,0.06,"AA",0.07
5000,0.27,"D",0.22
3000,0.31,"C",0.93
10000,0.06,"AA",0.04
6500,0.18,"AA",0.32
1000,NA,"HR",0.1
3500,0.14,"HR",0.91
4500,0.22,"B",0.66
6000,0.45,"A",NA
5000,0.33,"C",0.83
5637,0.21,"D",0.18
10000,0.16,"A",0.78
10200,0.17,"D",0.58
15000,0.25,"A",0.58
9000,0.16,"E",0.86
6500,0.15,"B",0.39
3000,0.12,"A",0.92
4700,0.26,"D",0.79
7500,0.36,"D",NA
2000,0.04,"D",0.54
15000,0.3,"B",0.63
3000,0.07,"AA",NA
20000,0.31,"A",0.39
3500,0.31,"E",0.55
2000,NA,"E",0.65
20000,0.28,"A",0.57
4000,0.17,"E",0.57
7000,0.08,"B",0.67
3100,0.31,"D",0.77
7000,0.29,"B",0.54
3500,0.59,"E",0.58
8000,0.17,"AA",0.22
10000,0.11,"D",0.71
13000,0.16,"C",0.87
19000,0.14,"A",0
2000,0.51,"C",0.04
7500,0.08,"E",0.2
5000,0.08,"C",0.76
5600,0.28,"A",0.93
1500,0.06,"A",0.1
15000,NA,"C",0.92
3500,0.15,"B",0.92
10000,0.25,"AA",0.14
3000,0.3,"D",0.82
4000,NA,"E",0.94
12500,0.4,"B",0.62
4000,0.4,"E",0.98
1000,0.02,"HR",NA
4000,0.36,"HR",0.88
17500,0.13,"B",0.53
12000,0.12,"B",0.57
10000,0.22,"A",0.41
2000,0.2,"C",0.57
7500,0.12,"D",NA
5000,0.29,"C",0.35
5800,0.14,"C",0
3200,0.22,"C",0.66
5200,0.23,"D",0.77
6000,0.29,"B",0.62
1000,0.29,"E",0.98
25000,0.16,"C",0.29
15000,0.43,"B",NA
4000,0.32,"E",0.65
25000,0.35,"A",NA
5000,0.25,"D",0.61
7500,0.13,"E",0.28
7000,0.06,"C",NA
1000,0.12,"A",0
3000,0.43,"C",0.98
4000,0.48,"A",0.22
4000,0.29,"E",0.72
8000,0.13,"B",0.18
13000,0.29,"B",0.63
21500,0.25,"C",0.94
4000,0.29,"HR",0.84
4300,0.12,"B",0
15000,0.18,"AA",0.09
6000,0.06,"A",0.46
35000,0.12,"A",0.41
3000,0.15,"HR",0
4000,0.23,"D",0.7
23000,0.15,"C",0.93
3700,0.16,"D",0.7
4000,0.2,"E",0.5
6000,0.22,"D",0.95
20000,0.22,"B",0.52
8800,0.16,"AA",0.24
6000,0.19,"D",0.94
4000,NA,"D",0.62
10000,0.29,"C",0.25
20000,0.13,"C",0.61
2500,0.21,"D",0.85
2000,0.15,"E",0.99
1200,0.14,"D",0.9
4000,0.06,"HR",0
15000,0.23,"B",0.98
4000,0.46,"D",0.85
7500,0.25,"E",0.98
10000,0.27,"A",0.24
10000,0.33,"D",0.95
8300,0.3,"B",0.79
15000,0.35,"C",0.88
10000,0.39,"E",0.58
19000,0.3,"B",0.89
13000,0.25,"C",0.94
7000,0.38,"C",0.98
4000,NA,"E",0.97
5000,NA,"B",0
17000,0.29,"AA",0.24
1500,0.19,"C",0.96
3000,0.39,"C",0.76
11500,0.28,"B",0.14
9000,0.1,"AA",0.64
3001,0.27,"A",0.51
5000,0.16,"D",NA
4750,0.1,"B",0.85
10000,0.23,"B",0.84
4000,0.03,"E",0.16
10000,0.12,"A",0.21
15000,0.3,"AA",0.77
5000,0.5,"C",NA
4000,0.04,"AA",0.02
25000,0.26,"C",0.93
13000,0.4,"A",0.14
25000,0.28,"C",0.89
10000,0.25,"D",0.87
3000,0.05,"HR",NA
4000,NA,"D",0.21
12000,0.16,"C",0
7500,0.59,"E",0.33
3000,0.22,"B",0.41
8000,0.12,"D",NA
1000,0.01,"AA",0.03
1000,0.26,"C",0.97
25000,0.28,"A",0.01
3000,0.28,"D",0.88
15000,0.13,"B",0.66
14995,NA,"A",0.88
15000,0.27,"B",0.23
4000,0.46,"HR",0.95
6000,0.14,"A",0.35
7500,0.17,"E",0.26
10000,0.19,"A",0.73
10000,0.7,"B",NA
3000,0.37,"HR",0.95
4000,NA,"E",0.52
2500,0.13,"E",NA
20000,0.15,"AA",0.28
4000,0.12,"C",0.57
8500,0.47,"D",0.47
15000,0.47,"C",0.94
4000,NA,"HR",0.87
8000,0.1,"D",0.41
12000,0.24,"A",0.47
15000,0.5,"B",0.85
2000,0.31,"D",0.95
8500,0.45,"AA",0.39
5000,0.1,"A",0.17
6000,0.33,"A",0.8
2500,0.28,"HR",1.04
2000,0.16,"D",0.49
5000,0.24,"D",0.89
4000,0.16,"E",0.56
15000,0.32,"B",0.93
12000,0.15,"B",0.19
1000,0.32,"E",NA
1000,0.37,"C",NA
7500,0.31,"B",0.92
1000,0.57,"E",0.78
10000,0.24,"B",0.26
15000,0.39,"C",0.61
10000,10.01,"HR",0.9
4000,0.4,"C",0.21
10000,0.3,"D",0.77
10000,0.24,"B",0.79
4000,0.23,"D",0.41
3393,0.3,"HR",0.95
15000,0.28,"B",0.44
3300,NA,"AA",0.03
15000,0.45,"C",0.87
4000,NA,"C",0.99
5000,NA,"D",0.53
2950,0.41,"E",0.85
7000,0.28,"C",0.96
2500,0.79,"HR",0.62
4000,0.27,"HR",0.92
15000,0.35,"B",0.45
1000,0.36,"HR",0.73
1500,0.28,"HR",0.84
11000,0.16,"B",0.12
2000,0.05,"D",0.55
13000,0.31,"A",0.32
9900,0.34,"B",NA
3000,0.35,"D",0.32
15000,0.4,"B",0.62
3300,0.09,"B",0.39
4500,0.24,"C",0.93
11500,0.25,"A",0.59
2000,0.22,"E",0.9
8000,0.11,"C",0.98
4000,0.18,"HR",0.76
15000,0.79,"A",0.42
4000,0.39,"E",0.75
3800,0.1,"D",0
6900,0.4,"B",0.84
15000,0.19,"C",0
10000,0.44,"E",0.27
5000,0.31,"D",NA
35000,0.14,"A",0.55
14000,0.1363,"A",NA
5000,0.47,"B",0.2
2000,0.05,"AA",0.25
15000,0.09,"B",0.83
10000,0.38,"D",0.97
12000,0.27,"A",0.9
4000,0.38,"E",0.37
15000,0.25,"A",0.77
15000,NA,"A",0.1
15000,0.18,"C",0.87
8923,0.24,"A",0.15
4000,0.51,"E",0.41
5000,0.12,"E",0.94
4000,0.25,"D",0.61
5555,0.15,"C",0.89
10000,0.2,"B",NA
5162,0.37,"B",0.18
25000,0.3,"B",0.98
15000,0.25,"C",0.97
1000,0.15,"HR",0.86
9000,NA,"C",0.44
2550,0.15,"A",0.58
15000,0.22,"A",0.44
6500,0.12,"C",0.95
2000,0.25,"E",0.46
2500,0.04,"C",0.89
3400,0.28,"A",0.82
10000,0.39,"D",0.87
3000,0.37,"C",0.92
5000,0.14,"B",0.92
20000,0.23,"C",0.32
15000,0.13,"D",NA
3000,0.13,"E",NA
10000,0.2,"C",0.84
5000,0.32,"C",0.73
1500,0.22,"A",0.09
3900,0.05,"A",0.53
7000,0.43,"C",0.07
10000,NA,"C",0.69
2000,0.04,"E",1.09
15000,0.32,"D",0.96
2500,0.26,"C",0.88
10000,0.38,"D",0.57
3000,0.34,"HR",0.76
20000,0.23,"A",NA
8000,0.24,"D",NA
20000,0.89,"B",NA
2200,0.11,"D",0.94
1800,NA,"B",0.39
3000,0.18,"HR",0.81
7000,0.16,"C",0.73
15000,0.38,"B",0.92
5000,0.14,"A",0.9
1000,0.18,"C",0.41
7500,0.15,"E",0.99
2550,5.5608,"D",NA
1600,0.38,"HR",NA
13500,0.26,"C",0.38
4000,0.27,"B",0.31
15000,0.39,"A",0.24
2000,0.18,"A",0.79
8000,NA,"AA",0.08
4600,0.23,"A",0.31
15000,0.36,"A",0.88
1500,0.26,"E",1.11
8500,0.2,"C",0.92
4500,0.27,"B",0.1
15000,0.34,"C",0.98
7500,0.17,"A",0.94
12000,0.32,"C",0.7
1200,0.27,"HR",1.01
10000,0.23,"A",0.48
2000,0.14,"C",0.6
7000,0.23,"C",0.4
2000,NA,"E",0.85
8000,0.36,"A",0.06
25000,0.2,"B",0.93
3000,0.28,"A",0.41
4000,0.18,"E",0.83
7500,0.35,"B",0.55
4000,0.42,"HR",0.68
2500,0.41,"D",NA
4200,0.36232,"B",NA
4500,0.07,"A",0.88
10000,NA,"B",0
12000,0.23,"AA",0.61
8000,0.36,"A",0.31
10000,NA,"A",0.83
4000,NA,"HR",1
10000,0.32,"D",0.75
10000,0.32,"D",0.93
11000,0.1,"A",0.46
17500,0.19,"AA",0.28
2600,0.18,"HR",0.96
3000,0.18,"B",1.09
6000,0.43,"B",0.39
15000,0.25,"C",0.79
4000,0.07,"D",0.79
5000,0.23,"D",NA
10000,0.1,"B",0
6000,0.4,"B",0.73
4500,0.28,"C",0.64
4000,NA,"D",0.55
15000,0.46,"B",NA
2000,0.0204,"HR",NA
15000,0.35,"B",0.49
15000,0.34,"C",0.97
22500,0.22,"B",0.65
3000,0.22,"D",0.41
4000,NA,"E",0.91
5100,0.27,"A",0.67
8000,0.25,"A",0.23
5000,0.22,"A",0.42
12400,0.22,"AA",0.29
8000,0.11,"B",0.43
10000,0.27,"D",0.98
21000,0.24,"A",0.46
3999,NA,"D",0.56
4500,0.26,"AA",0.03
1484,0.05,"HR",0.76
10000,0.28,"B",0.39
25000,0.14,"B",0.45
7500,0.96,"E",0.62
15000,0.3,"AA",0.32
5100,NA,"B",0.19
3500,0.18,"E",1.01
7250,0.23,"A",0.92
3500,0.24,"B",0.64
4000,0.18,"E",0.67
8000,1.36,"AA",0.01
1500,0.17,"B",0.48
3000,0.02187,"AA",NA
10000,0.21,"B",0.23
3000,0.11,"B",0.1
5000,0.31,"D",0.82
3000,0.23,"D",NA
4000,0.22,"E",0.97
1000,0.1,"B",1
13000,0.24,"A",0.74
2500,0.17,"D",0.63
7500,0.62,"C",0.82
11500,0.37,"A",0.49
25000,0.05,"A",0.87
7000,0.29,"B",0.63
7000,0.09,"A",0.1
4000,NA,"E",0.29
1500,NA,"AA",0.21
15000,0.17,"B",0.62
10000,0.48,"C",0.8
15000,0.24,"AA",0.18
1000,0.11,"C",0.22
15000,0.47,"C",0.37
4000,0.34,"E",0.9
20000,0.26,"C",0.13
4000,0.05,"D",0.08
2200,0.12,"C",0
3000,0.32,"B",0.81
7000,0.49,"C",0.14
4000,0.27,"D",0.93
7500,0.34,"C",0.32
4000,0.12,"D",1.01
21605,0.14,"C",1.04
10000,NA,"B",0.23
25000,0.19,"A",0.97
22500,0.3,"B",0.19
4500,0.05,"E",NA
8000,0.23,"A",0.58
15000,0.29,"C",0.53
20000,0.19,"C",0.46
15000,0.37,"A",0.35
4000,0.02,"A",0.86
7500,0.41,"E",0.85
25000,0.12,"B",0.73
10000,0.16,"B",0.38
10000,0.12,"A",0.29
4000,0.14,"B",NA
15000,0.36,"A",0.98
2000,0.24,"HR",0.99
1000,0.26,"HR",0
9000,0.19,"AA",0.1
10000,0.08,"AA",0.15
1500,0.05,"HR",NA
1000,0.37,"HR",0
15000,0.4,"B",0.96
3000,0.12,"E",NA
10000,0.38,"A",0.3
4500,0.12,"C",0.79
25000,0.17,"C",0.47
6000,0.3,"B",0.76
13500,0.36,"B",0.77
15000,0.56,"C",0.74
6000,0.44,"C",0.91
2500,0.14,"D",0.64
22500,NA,"AA",0.31
7000,0.18,"C",0.79
25000,0.22,"C",0.94
5000,0.15,"B",0.89
12000,0.31,"A",0.65
10000,NA,"B",0.42
4000,0.12,"HR",0.25
10000,0.18,"A",0.02
4900,0.2,"C",0.07
10000,0.24,"E",0.72
10000,0.48,"E",0.81
10000,0.16,"C",0.46
4500,0.06,"B",0.2
12000,0.18,"A",0.79
4000,0.21,"C",0.76
9000,NA,"B",0.36
2000,0.13,"C",0.79
4000,0.28,"E",0.48
10000,0.37,"A",0.1
15000,0.17,"A",0.25
15000,0.39,"C",0.81
3500,0.11,"C",0.96
17000,0.12,"AA",0.22
7350,NA,"B",0.63
5900,0.33,"D",0.05
15000,0.07,"A",0.47
10000,NA,"D",0.42
4500,0.37,"D",0.39
24000,0.17,"B",0.44
10000,NA,"B",0.71
8500,0.33,"C",0.85
3500,0.22,"HR",0.86
25000,0.37,"C",0.73
18500,0.15,"AA",NA
6000,0.2,"D",0.56
8000,0.15,"A",0.45
2500,0.37,"E",0.29
4000,0.1,"C",1.11
3000,0.12,"D",0.92
15000,0.55,"C",0.63
8500,0.58,"B",0.36
2000,0.06,"C",0.91
10000,0.19,"D",0.84
10500,0.04,"B",0.48
1500,0.54,"E",0.89
5000,0.18,"B",0.25
9800,0.4,"C",0.68
10000,0.46,"E",0.62
10000,0.28,"D",0.19
2500,0.1,"HR",NA
5000,0.11,"A",0.3
10000,0.23,"B",0.84
2000,0.1,"C",0.93
5000,0.03,"AA",0
10000,0.13,"AA",0.17
8500,0.07,"A",0.39
2000,0.39,"A",0.49
9000,0.11,"D",0.96
20000,0.16,"AA",0.56
7500,0.18,"D",0.72
4000,0.77,"HR",0.8
12000,0.28,"AA",0.25
3800,0.25,"C",0.27
2000,0.24,"E",0.77
10000,0.11,"A",0.9
4000,0.22,"D",0.95
4000,0.15,"E",0.75
18000,0.19166,"AA",NA
15000,0.29,"D",0.54
5000,0.52,"C",NA
10000,0.18,"C",0
4000,0.53,"C",0.67
2000,NA,"C",0
1700,0.05,"E",0.37
1000,NA,"A",0.52
3100,0.17,"HR",1
25000,0.07,"AA",0.29
25000,0.34,"C",0.62
6500,0.42,"D",0.81
2500,0.47,"D",0.55
10000,0.24,"C",0.65
7500,0.39,"D",0.73
10000,0.29,"D",0.6
25000,10.01,"D",0.42
4000,1.53,"HR",0.29
1000,0.25,"E",0.72
3000,0.13,"B",0.78
3500,0.15,"E",0.19
10000,0.38,"B",0.43
4000,0.38,"B",0
1500,0.2,"HR",0.74
20000,0.3,"A",0.77
15000,0.42,"C",0.93
6300,0.28,"A",NA
15000,0.11,"A",0.33
25000,0.33,"C",0.84
2000,0.22,"E",0.96
2000,0.28,"HR",1.1
6000,0.08,"AA",NA
15000,NA,"C",0.93
3300,0.31,"C",0.3
10000,0.08,"AA",0.17
4000,0.43,"D",0.27
6500,0.24,"D",0.98
1000,0.59,"HR",NA
3000,0.19,"E",0.36
3000,0.1,"D",0
1500,0.23,"D",0.86
15000,0.39,"B",0.53
9000,0.21,"B",0.09
2000,0.07,"HR",0.97
4000,0.08,"D",0.07
9000,NA,"C",0.48
7000,0.39,"C",0.42
2950,0.17,"D",1.01
5500,0.13,"A",0.69
11000,0.19,"B",0.97
2500,0.14,"HR",NA
5000,0.16,"A",0.05
10000,0.25,"B",0.4
11500,0.15,"C",0.66
6000,0.35,"D",0.46
3500,0.44,"D",0.2
3500,0.21,"C",0.82
6000,NA,"A",0.63
10000,0.25,"D",0.97
3500,0.14,"E",0.97
6200,0.14,"D",0.8
9000,0.34,"C",0.42
15000,0.5,"A",0.15
10000,0.24,"C",0.93
8000,0.07,"A",0.3
7000,0.2,"A",0.65
9400,0.25,"A",0.5
15000,0.36,"C",0.97
25000,0.42,"B",NA
4000,NA,"HR",0.59
5000,NA,"B",0.36
4000,0.31,"E",0.66
21000,0.17,"A",0.24
1700,0.19,"D",1
4000,10.01,"E",0
7000,0.31,"C",0.65
8000,0.22,"D",0
4000,0.2,"E",0.53
3500,0.22,"B",0.34
10000,0.46,"D",0.52
16000,0.2,"B",0.88
1300,0.24,"B",0.61
15000,0.31,"B",0.89
15000,0.37,"B",0.62
4000,0.16,"A",0.13
6000,0.22,"E",0.94
15000,0.27,"A",0.1
10000,0.44,"D",0.46
7000,0.23,"A",0.68
2500,0.59,"A",0.74
4900,0.23,"E",0.92
5000,0.39,"C",0.64
1000,0.12,"C",0.58
18000,0.17,"AA",0.46
4000,0.08,"B",0.05
4000,0.14,"C",NA
8000,0.26,"B",NA
18000,0.29,"C",0.87
14000,0.08,"AA",0.15
10000,0.23,"D",0
9000,0.31,"C",0.77
15000,NA,"A",0.45
4000,0.25,"HR",0.68
15000,NA,"C",0.64
4000,0.19,"C",0.87
3000,0.2,"HR",0.07
10000,0.21,"E",NA
9000,0.07,"D",0.86
5000,0.11,"C",0.67
4000,0.06,"HR",0
10000,0.47,"A",0.55
8000,0.18,"A",0.57
4000,0.11,"E",0.9
10000,0.17,"C",0.98
5000,0.16,"D",0.74
4000,0.07,"E",0.95
5000,0.24,"A",0.39
8000,0.23,"B",0.38
6500,0.21,"E",0.9
2000,0.49,"E",1.06
8000,0.1,"D",0.95
4000,0.19,"HR",1.02
4000,0.46,"D",0.58
13500,NA,"D",0.6
4000,0.22,"E",0.53
2000,0.15,"D",0.29
16000,0.18,"A",0
2000,0.38,"C",0.95
4000,0.22,"E",0.45
15000,0.1,"B",0.23
25000,0.31,"C",0.8
10000,0.27,"C",NA
3500,0.24,"A",0.97
4500,0.11,"D",1.04
9990,0.29,"B",0.83
16000,0.2,"B",0
2500,0.13594,"E",NA
10000,0.31,"C",0.69
3500,0.03,"AA",0
4000,0.25,"E",0.9
20000,0.29,"AA",0.13
8000,0.15,"A",0.78
1200,0.29,"E",0.83
6000,0.17,"B",NA
4000,0.48,"HR",0.4
20000,0.27,"C",NA
5500,0.26,"C",0.6
2000,0.16,"D",0
3200,10.01,"AA",0
2400,0.83,"C",0.29
3600,0.06,"AA",0
4000,0.26,"E",0.78
4000,0.33,"C",0.9
4000,NA,"B",0.01
2000,0.11,"HR",0.98
2000,0.28,"HR",0.74
4000,0.17,"HR",0.92
20000,0.12,"AA",0.47
3274,0.18,"E",NA
4850,0.05177,"E",NA
10000,0.36,"C",0.31
3000,0.1,"D",0.29
4000,0.22,"HR",0.88
5500,0.18,"A",0.38
2100,0.04,"AA",0.02
1200,0.36,"A",0.3
4000,NA,"HR",0.63
20000,0.22,"A",0.82
5000,0.1,"E",NA
20000,0.13,"B",0.92
15000,0.12,"C",0.88
15000,0.52,"C",0.92
10000,0.3,"AA",0.8
15000,0.33,"A",0.69
5000,0.14,"C",0.42
2100,0.18,"AA",0
20000,0.25,"A",0.27
13000,0.29,"C",0.91
15000,0.18,"A",0.83
4000,0.13,"HR",0
9000,0.19,"C",0.72
1000,0.05,"D",NA
9000,0.15,"AA",0.09
8000,0.15,"A",0.16
15000,0.37,"C",0.98
7000,0.23,"A",0.03
5000,0.26,"D",1.22
22200,0.27,"B",0.67
9500,0.17,"C",0.81
4200,0.19,"A",0.13
7000,0.22,"A",0.09
5000,0.15,"C",0
4000,0.2,"E",0.54
4000,0.47,"E",0.55
2000,0.12,"A",0.14
13000,0.15,"B",0.84
4000,NA,"E",0
8000,0.23,"D",0.48
10000,0.59,"D",0.64
7000,0.27,"D",0.7
7500,0.29,"C",0.3
4000,0.34,"B",0.51
5800,0.09,"C",0.33
25000,0.13,"C",0.89
15000,0.41,"B",0.42
6000,0.15,"A",0.16
4500,0.41,"HR",0.94
5000,0.14,"A",0.16
12000,0.13,"C",0.46
15000,0.22,"AA",0.12
14200,0.18,"A",0.06
4000,0.3,"B",0.43
5000,0.36,"D",0.98
5000,0.13,"A",0.03
6000,0.14,"A",0.09
7000,0.28,"D",0.94
4000,1.21,"HR",0.87
3000,NA,"B",0.13
3000,0.2,"AA",NA
11000,0.12,"AA",0.39
7500,0.24,"C",0.62
1500,0.37,"E",0.98
5000,NA,"D",0.25
15000,0.36,"A",0.37
3000,0.11,"B",NA
2000,0.29,"D",0.64
4000,0.43,"HR",0.94
9500,NA,"C",0.01
7500,0.31,"C",0.93
4000,0.44,"E",0.25
20000,0.2,"A",0.33
15000,0.26,"D",0.22
15000,0.45,"B",0.38
12000,0.27,"AA",0.26
20000,0.2,"C",0.93
4000,0.17,"C",0.78
3000,0.25,"E",0.77
5000,0.2,"",0.37
9000,0.25,"D",0.94
25000,0.38,"B",0.69
4000,0.17,"E",0.96
3500,0.26,"B",0.46
22000,0.15,"A",0.92
6000,0.17,"HR",0
1250,0.18,"C",NA
20000,0.16,"C",0.95
3000,0.61,"HR",0.56
15000,0.07,"C",0.51
8000,NA,"B",0.43
12000,0.18,"B",0.59
3001,0.08,"E",0
6000,0.18,"A",0.2
8500,0.29,"C",0.3
10000,0.22,"D",0.38
1000,0.16,"HR",NA
3000,0.1,"D",0
4000,0.1,"C",0.66
5000,0.15,"D",0.68
2000,0.06,"HR",NA
6000,0.49,"D",0.31
7000,0.08,"AA",0.06
4689,0.27,"C",0.54
15000,0.26,"B",0.61
2000,0.25,"E",0.28
1000,2.79,"A",0.07
20000,0.35,"A",0.23
15000,0.32,"A",0.97
20000,0.15,"C",0.79
4000,NA,"E",0.85
20000,0.34,"D",1
4000,0.47,"C",0.57
5000,0.16,"A",0.44
25000,0.23,"A",0.49
15000,0.42,"B",0.61
10000,0.16,"B",0.8
8000,0.48,"A",0.44
3000,0.03,"D",NA
3000,0.12,"C",0.97
6400,0.11,"A",0.92
15000,0.43,"C",0.78
15000,0.29,"C",0.94
3500,0.23,"A",0
10300,0.24,"C",0.65
2551,0.52,"D",0.96
7000,0.29,"C",0.62
13000,0.23,"B",0.64
2500,0.13,"HR",0.94
11000,NA,"A",0.09
2500,NA,"HR",0.9
15000,0.36,"C",0.83
17000,0.19,"A",0.67
7250,NA,"A",0.49
10000,0.29,"A",0.14
15000,0.25,"B",0.29
10000,0.36,"B",0.28
6000,0.21,"C",0.49
2500,0.18,"D",1.34
4000,0.17,"HR",0.86
15000,0.2,"D",0.27
13000,0.1,"AA",0.11
4500,0.07,"D",0
3000,0.31,"E",0.34
4000,0.26,"HR",0.72
25000,0.13,"A",0.62
11000,0.21,"D",0.48
2500,0.33,"HR",0.44
11500,0.34,"B",0.87
1000,0.05,"HR",0.88
4000,0.36,"HR",0.95
8000,0.25,"A",0.97
